full_text,sentiment,created_at,tweet_id
"@DavidNoGOP @NoLieWithBTC @donwinslow I hear you!

#Trump &amp; the @GOP are DISMANTLING DEMOCRACY piece by piece!

The Republican Party are the REAL ENEMY of the people? 

I've put together the reasons why!
https://t.co/cHGjKJpCsO",0.36086404,2022-04-05 22:33:41,1511472170127425538
"@MarkHertling @NATO @mattgaetz @SecDef Oh it's definitely part of the plan. 

It would be a damn shame if someone created a GIGANTIC (over 400, so far, I keep finding more) thread showing the history of GOP/Trump and putin/russia collusion. Oh wait…

https://t.co/NLn7oSgFip",0.31963512,2022-04-05 22:33:43,1511472179061444616
"Hello, there.😊
Are you in need of a web developer who will build highly responsive websites for you?
Look no further. I'm a professional website developer. I'd help you do the job perfectly.
Click this to get started👇
https://t.co/Cee3D5twnS
#Simeone
#Haram 
#Trump
#Liverpool",0.64079326,2022-04-05 22:34:20,1511472333336293377
Hopefully now that Elon Musk is the majority stock holder of Twitter he will reinstate Trump on Twitter. We need better entertainment. @elonmusk @Twitter #Trump #TrumpTwitter,0.48539886,2022-04-05 22:34:32,1511472383881736192
"Trump’s social network is failing. Just like he failed with his Casinos, hotels, and slowly his golf courses. And he claims to be a master businessman. Reality is he is a grifter taking money from his supporters #Trump #GOP",0.29022074,2022-04-05 22:34:55,1511472478220079106
All these students who voted for Biden thinking he was going to erase all their #StudentDebt .  Yep this is how it works kids.  Shady politics. #biden #lies https://t.co/RZUYeYs83a,0.31724942,2022-04-05 22:35:15,1511472564908007426
"@POTUS #Makron and #Biden, speaking about the events in #Bucha, apparently forgot about the presumption of innocence, that someone's guilt must be proven, and that slander is punishable by law. https://t.co/208Jo0o8Zc",0.21909904,2022-04-05 22:35:44,1511472684391092226
#Ukraine   The Republicans still dare to attend to #Russia y #Trump they kneel to the RUSSIAN Flag. 🇺🇸🇬🇧🇩🇪🇪🇺#USA Freedom and democracy will pravail over the #Putin Dictator and madman,0.38149738,2022-04-05 22:36:08,1511472786606231555
"@EllioT_MR___ gotta hand it to #Obama , his #Biden damage control quip was well done after Ole’ Joe’s failed VP joke &amp; state of despondency ...",0.32069933,2022-04-05 22:36:27,1511472865496944645
"@DefSue3 @waynemoranphoto Actually? Trump was GREAT - and good for America. But unless Musk can get him back on Twitter, his ship has sailed. He and we - need to throw our entire support behind Mike Pence. He is savvy, sober, and squeaky clean. The media can't touch him. #MAGA #AmericaFirst #Pence #Trump",0.403084,2022-04-05 22:36:38,1511472913181929484
"@nytimes Hilarious these slime don’t realise they are done and on a few months when the #Biden slime turn on each other with the #CIA clowns they will have nowhere to hide.
#Prison #Treason https://t.co/VlkaufVTLd",0.36684728,2022-04-05 22:36:51,1511472963685605380
"Why did #Trump  Department of Justice dismiss anti-nepotism guidelines and clear precedent to let Jared and Ivanka work in the White House? They said they divested from conflicts of interest but analysis of their financials show they  made $640 million while in WH. 
#Blue",0.23485297,2022-04-05 22:36:58,1511472996170584069
Via @RawStory: Ron Paul is back -- and 'downright giddy' as DC grapples with his new attack on the Federal Reserve https://t.co/oEOz2sQCGz | #politics #trump #corruption,0.40943414,2022-04-05 22:37:32,1511473137363292160
Via @RawStory: Ron DeSantis on the defensive after NYC mayor launches ad campaign against FL’s 'Don’t Say Gay' law https://t.co/9kv7JdQBBu | #politics #trump #corruption,0.34111053,2022-04-05 22:37:34,1511473144380354560
Shannon Sharpe Gets SLAMMED After Insane Twitter Post About Gas Prices A... https://t.co/KmJguWhpRk via @YouTube #ShannonSharpe #Trump #GasPrices #DunceLevel #SportsWars,0.31495392,2022-04-05 22:37:41,1511473176349491202
@The_Real_Fly ... i really wish that #Trump would stop tying his legacu to those goddamned #nonvaccines ... it's a line that is highly unpopular with his base and he should know this by now...,0.46547383,2022-04-05 22:37:57,1511473241717497859
🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊Bring him back!!!!!!! #truth #trump,0.837181,2022-04-05 22:38:10,1511473297480839175
